Date,Forecast,Lower_CI,Upper_CI
2012-11-04,190372.00924756052,166812.75808538636,213931.26040973468
2012-11-11,203581.7492475605,178594.11662764507,228569.38186747595
2012-11-18,201146.4792475605,174807.8146539764,227485.14384114457
2012-11-25,193345.41924756052,165721.72070448383,220969.11779063722
2012-12-02,160589.2592475605,131737.70487306907,189440.8136220519
2012-12-09,202361.1092475605,172331.8625295742,232390.3559655468
2012-12-16,215184.81924756052,184022.3558167733,246347.28267834772
2012-12-23,224628.75924756052,192372.86682926575,256884.6516658553
2012-12-30,131786.76924756053,98473.31754519166,165100.22094992938
2013-01-06,184103.11924756053,149764.66364816698,218441.57484695408
2013-01-13,201957.16924756052,166623.43180617204,237290.906688949
2013-01-20,188177.97924756055,151876.23727554997,224479.72121957113
